dec12,dec9,birthdate,later tagged
3074,704,05.08.2016,
3075,960,07.07.2016,
3076,1216,23.08.2016,
3077,1472,15.07.2016,
3078,1728,21.07.2016,
3079,1984,,
3080,192,28.07.2016,
3081,448,01.07.2016,
3082,704,05.07.2016,
3083,960,11.08.2016,
3084,1216,13.07.2016,
3085,1472,,
3086,1728,,
3087,1984,26.07.2016,
3088,193,27.07.2016,
3089,449,04.07.2016,
3090,705,06.07.2016,
3091,961,22.08.2016,
3092,1217,13.07.2016,
3093,1473,,
3094,1729,,
3095,1985,26.07.2016,
3096,193,29.06.2016,
3097,449,01.08.2016,
3098,705,10.08.2016,
3099,961,11.07.2016,
3100,1217,,
3101,1473,19.07.2016,
3102,1729,21.07.2016,
3103,1985,,
3104,194,27.07.2016,
3105,450,04.07.2016,
3106,706,06.07.2016,
3107,962,15.08.2016,
3108,1218,,
3109,1474,,
3110,1730,,
3111,1986,26.07.2016,
3112,194,29.06.2016,
3113,450,01.08.2016,
3114,706,10.08.2016,
3115,962,11.07.2016,
3116,1218,,
3117,1474,19.07.2016,
3118,1730,21.07.2016,
3119,1986,,
3120,195,29.06.2016,
3121,451,01.08.2016,
3122,707,10.08.2016,
3123,963,11.07.2016,
3124,1219,,
3125,1475,19.07.2016,
3126,1731,21.07.2016,
3127,1987,,
3128,195,27.07.2016,
3129,451,04.07.2016,
3130,707,06.07.2016,
3131,963,15.08.2016,
3132,1219,13.07.2016,
3133,1475,,
3134,1731,,
3135,1987,26.07.2016,
3136,196,27.07.2016,
3137,452,04.07.2016,
3138,708,06.07.2016,
3139,964,15.08.2016,
3140,1220,13.07.2016,
3141,1476,,
3142,1732,,
3143,1988,26.07.2016,
3144,196,29.06.2016,
3145,452,01.08.2016,
3146,708,10.08.2016,
3147,964,11.07.2016,
3148,1220,,
3149,1476,20.07.2016,
3150,1732,21.07.2016,
3151,1988,,
3152,197,29.06.2016,
3153,453,01.08.2016,
3154,709,10.08.2016,
3155,965,11.07.2016,
3156,1221,,
3157,1477,20.07.2016,
3158,1733,21.07.2016,
3159,1989,,
3160,197,27.07.2016,
3161,453,04.07.2016,
3162,709,06.07.2016,
3163,965,15.08.2016,
3164,1221,13.07.2016,
3165,1477,,
3166,1733,,
3167,1989,26.07.2016,
3168,198,29.06.2016,
3169,454,01.08.2016,
3170,710,10.08.2016,
3171,966,11.07.2016,
3172,1222,,02.09.2016
3173,1478,20.07.2016,
3174,1734,21.07.2016,
3175,1990,,
3176,198,27.07.2016,
3177,454,04.07.2016,
3178,710,06.07.2016,
3179,966,15.08.2016,
3180,1222,13.07.2016,
3181,1478,,
3182,1734,,
3183,1990,26.07.2016,
3184,199,27.07.2016,
3185,455,04.07.2016,
3186,711,06.07.2016,
3187,967,15.08.2016,
3188,1223,13.07.2016,
3189,1479,,
3190,1735,,
3191,1991,26.07.2016,
3192,199,29.06.2016,
3193,455,01.08.2016,
3194,711,10.08.2016,
3195,967,11.07.2016,
3196,1223,,
3197,1479,,
3198,1735,21.07.2016,
3199,1991,,
3200,200,27.07.2016,
3201,456,04.07.2016,
3202,712,06.07.2016,
3203,968,15.08.2016,
3204,1224,13.07.2016,
3205,1480,,
3206,1736,,
3207,1992,26.07.2016,
3208,200,29.06.2016,
3209,456,01.08.2016,
3210,712,10.08.2016,
3211,968,11.07.2016,
3212,1224,,
3213,1480,20.07.2016,
3214,1736,21.07.2016,
3215,1992,,
3216,201,29.06.2016,
3217,457,01.08.2016,
3218,713,10.08.2016,
3219,969,11.07.2016,
3220,1225,,
3221,1481,20.07.2016,
3222,1737,21.07.2016,
3223,1993,,
3224,201,27.07.2016,
3225,457,04.07.2016,
3226,713,06.07.2016,
3227,969,22.08.2016,
3228,1225,13.07.2016,
3229,1481,,
3230,1737,,
3231,1993,26.07.2016,
3232,202,29.06.2016,
3233,458,01.08.2016,
3234,714,10.08.2016,
3235,970,11.07.2016,
3236,1226,,
3237,1482,20.07.2016,
3238,1738,21.07.2016,
3239,1994,,
3240,202,27.07.2016,
3241,458,04.07.2016,
3242,714,06.07.2016,
3243,970,15.08.2016,
3244,1226,13.07.2016,
3245,1482,,
3246,1738,,
3247,1994,26.07.2016,
3248,203,28.07.2016,
3249,459,04.07.2016,
3250,715,06.07.2016,
3251,971,15.08.2016,
3252,1227,13.07.2016,
3253,1483,,
3254,1739,,
3255,1995,26.07.2016,
3256,203,29.06.2016,
3257,459,01.08.2016,
3258,715,10.08.2016,
3259,971,11.07.2016,
3260,1227,,
3261,1483,20.07.2016,
3262,1739,21.07.2016,
3263,1995,,
3264,204,29.06.2016,
3265,460,01.08.2016,
3266,716,10.08.2016,
3267,972,11.07.2016,
3268,1228,,
3269,1484,20.07.2016,
3270,1740,21.07.2016,
3271,1996,,
3272,204,28.07.2016,
3273,460,04.07.2016,
3274,716,06.07.2016,
3275,972,15.08.2016,
3276,1228,13.07.2016,
3277,1484,,
3278,1740,,
3279,1996,26.07.2016,
3280,205,28.07.2016,
3281,461,04.07.2016,
3282,717,06.07.2016,
3283,973,15.08.2016,
3284,1229,13.07.2016,
3285,1485,,
3286,1741,,
3287,1997,26.07.2016,
3288,205,29.06.2016,
3289,461,01.08.2016,
3290,717,10.08.2016,
3291,973,11.07.2016,
3292,1229,,
3293,1485,20.07.2016,
3294,1741,21.07.2016,
3295,1997,,
3296,206,28.07.2016,
3297,462,04.07.2016,
3298,718,06.07.2016,
3299,974,15.08.2016,
3300,1230,13.07.2016,
3301,1486,,
3302,1742,,
3303,1998,26.07.2016,
3304,206,29.06.2016,
3305,462,01.08.2016,
3306,718,10.08.2016,
3307,974,11.07.2016,
3308,1230,,
3309,1486,20.07.2016,
3310,1742,21.07.2016,
3311,1998,,
3312,207,29.06.2016,
3313,463,01.08.2016,
3314,719,10.08.2016,
3315,975,11.07.2016,
3316,1231,,
3317,1487,20.07.2016,
3318,1743,21.07.2016,
3319,1999,,
3320,207,28.07.2016,
3321,463,04.07.2016,
3322,719,06.07.2016,
3323,975,15.08.2016,
3324,1231,13.07.2016,
3325,1487,,
3326,1743,,
3327,1999,26.07.2016,
3328,208,28.07.2016,
3329,464,04.07.2016,
3330,720,06.07.2016,
3331,976,15.08.2016,
3332,1232,14.07.2016,
3333,1488,,
3334,1744,,
3335,2000,26.07.2016,
3336,208,29.06.2016,
3337,464,01.08.2016,
3338,720,10.08.2016,
3339,976,11.07.2016,
3340,1232,,
3341,1488,20.07.2016,
3342,1744,21.07.2016,
3343,2000,,
3344,209,29.06.2016,
3345,465,01.08.2016,
3346,721,10.08.2016,
3347,977,11.07.2016,
3348,1233,,
3349,1489,20.07.2016,
3350,1745,21.07.2016,
3351,2001,,
3352,209,28.07.2016,
3353,465,04.07.2016,
3354,721,06.07.2016,
3355,977,15.08.2016,
3356,1233,,
3357,1489,,
3358,1745,,
3359,2001,26.07.2016,
3360,210,29.06.2016,
3361,466,01.08.2016,
3362,722,10.08.2016,
3363,978,11.07.2016,
3364,1234,,
3365,1490,19.07.2016,
3366,1746,21.07.2016,
3367,2002,,
3368,210,28.07.2016,
3369,466,04.07.2016,
3370,722,06.07.2016,
3371,978,22.08.2016,
3372,1234,14.07.2016,
3373,1490,,
3374,1746,,
3375,2002,26.07.2016,
3376,211,28.07.2016,
3377,467,04.07.2016,
3378,723,06.07.2016,
3379,979,22.08.2016,
3380,1235,14.07.2016,
3381,1491,,
3382,1747,,
3383,2003,26.07.2016,
3384,211,29.06.2016,
3385,467,01.08.2016,
3386,723,10.08.2016,
3387,979,11.07.2016,
3388,1235,,
3389,1491,19.07.2016,
3390,1747,21.07.2016,
3391,2003,,
3392,212,29.06.2016,
3393,468,01.08.2016,
3394,724,10.08.2016,
3395,980,11.07.2016,
3396,1236,,
3397,1492,20.07.2016,
3398,1748,21.07.2016,
3399,2004,,
3400,212,28.07.2016,
3401,468,04.07.2016,
3402,724,06.07.2016,
3403,980,22.08.2016,
3404,1236,14.07.2016,
3405,1492,,
3406,1748,,
3407,2004,26.07.2016,
3408,213,28.07.2016,
3409,469,04.07.2016,
3410,725,06.07.2016,
3411,981,22.08.2016,
3412,1237,14.07.2016,
3413,1493,,
3414,1749,,
3415,2005,26.07.2016,
3416,213,29.06.2016,
3417,469,01.08.2016,
3418,725,10.08.2016,
3419,981,11.07.2016,
3420,1237,,
3421,1493,19.07.2016,
3422,1749,21.07.2016,
3423,2005,,
3424,214,28.07.2016,
3425,470,04.07.2016,
3426,726,06.07.2016,
3427,982,15.08.2016,
3428,1238,14.07.2016,
3429,1494,,
3430,1750,,
3431,2006,26.07.2016,
3432,214,29.06.2016,
3433,470,01.08.2016,
3434,726,10.08.2016,
3435,982,11.07.2016,
3436,1238,,
3437,1494,19.07.2016,
3438,1750,21.07.2016,
3439,2006,,
3440,215,29.06.2016,
3441,471,01.08.2016,
3442,727,10.08.2016,
3443,983,11.07.2016,
3444,1239,,
3445,1495,19.07.2016,
3446,1751,21.07.2016,
3447,2007,,
3448,215,28.07.2016,
3449,471,04.07.2016,
3450,727,06.07.2016,
3451,983,15.08.2016,
3452,1239,14.07.2016,
3453,1495,,
3454,1751,,
3455,2007,26.07.2016,
3456,216,29.06.2016,
3457,472,01.08.2016,
3458,728,10.08.2016,
3459,984,11.07.2016,
3460,1240,,
3461,1496,19.07.2016,
3462,1752,21.07.2016,
3463,2008,,
3464,216,28.07.2016,
3465,472,04.07.2016,
3466,728,06.07.2016,
3467,984,15.08.2016,
3468,1240,14.07.2016,
3469,1496,,
3470,1752,,
3471,2008,26.07.2016,
3472,217,28.07.2016,
3473,473,04.07.2016,
3474,729,06.07.2016,
3475,985,15.08.2016,
3476,1241,14.07.2016,
3477,1497,,
3478,1753,,
3479,2009,26.07.2016,
3480,217,29.06.2016,
3481,473,01.08.2016,
3482,729,10.08.2016,
3483,985,11.07.2016,
3484,1241,,
3485,1497,19.07.2016,
3486,1753,21.07.2016,
3487,2009,,
3488,218,28.07.2016,
3489,474,04.07.2016,
3490,730,06.07.2016,
3491,986,15.08.2016,
3492,1242,14.07.2016,
3493,1498,,
3494,1754,,
3495,2010,26.07.2016,
3496,218,29.06.2016,
3497,474,01.08.2016,
3498,730,10.08.2016,
3499,986,11.07.2016,
3500,1242,,
3501,1498,20.07.2016,
3502,1754,21.07.2016,
3503,2010,,
3504,219,29.06.2016,
3505,475,01.08.2016,
3506,731,10.08.2016,
3507,987,11.07.2016,
3508,1243,,
3509,1499,19.07.2016,
3510,1755,21.07.2016,
3511,2011,,
3512,219,28.07.2016,
3513,475,04.07.2016,
3514,731,06.07.2016,
3515,987,15.08.2016,
3516,1243,14.07.2016,
3517,1499,,
3518,1755,,
3519,2011,26.07.2016,
3520,220,28.07.2016,
3521,476,04.07.2016,
3522,732,06.07.2016,
3523,988,15.08.2016,
3524,1244,14.07.2016,
3525,1500,,
3526,1756,,
3527,2012,26.07.2016,
3528,220,29.06.2016,
3529,476,01.08.2016,
3530,732,10.08.2016,
3531,988,11.07.2016,
3532,1244,,
3533,1500,20.07.2016,
3534,1756,21.07.2016,
3535,2012,,
3536,221,29.06.2016,
3537,477,01.08.2016,
3538,733,10.08.2016,
3539,989,11.07.2016,
3540,1245,,
3541,1501,19.07.2016,
3542,1757,21.07.2016,
3543,2013,,
3544,221,28.07.2016,
3545,477,04.07.2016,
3546,733,06.07.2016,
3547,989,15.08.2016,
3548,1245,13.07.2016,
3549,1501,,
3550,1757,,
3551,2013,26.07.2016,
3552,222,29.06.2016,
3553,478,01.08.2016,
3554,734,10.08.2016,
3555,990,11.07.2016,
3556,1246,,
3557,1502,20.07.2016,
3558,1758,21.07.2016,
3559,2014,,
3560,222,28.07.2016,
3561,478,04.07.2016,
3562,734,06.07.2016,
3563,990,15.08.2016,
3564,1246,13.07.2016,
3565,1502,,
3566,1758,,
3567,2014,26.07.2016,
3568,223,28.07.2016,
3569,479,04.07.2016,
3570,735,06.07.2016,
3571,991,15.08.2016,
3572,1247,14.07.2016,
3573,1503,,
3574,1759,,
3575,2015,26.07.2016,
3576,223,29.06.2016,
3577,479,01.08.2016,
3578,735,10.08.2016,
3579,991,11.07.2016,
3580,1247,,
3581,1503,20.07.2016,
3582,1759,21.07.2016,
3583,2015,,
3584,224,28.07.2016,
3585,480,04.07.2016,
3586,736,06.07.2016,
3587,992,15.08.2016,
3588,1248,14.07.2016,
3589,1504,,
3590,1760,,
3591,2016,26.07.2016,
3592,224,29.06.2016,
3593,480,01.08.2016,
3594,736,10.08.2016,
3595,992,11.07.2016,
3596,1248,,
3597,1504,20.07.2016,
3598,1760,21.07.2016,
3599,2016,,
3600,225,30.06.2016,
3601,481,01.08.2016,
3602,737,10.08.2016,
3603,993,11.07.2016,
3604,1249,,
3605,1505,20.07.2016,
3606,1761,21.07.2016,
3607,2017,,
3608,225,28.07.2016,
3609,481,04.07.2016,
3610,737,06.07.2016,
3611,993,15.08.2016,
3612,1249,,
3613,1505,,
3614,1761,,
3615,2017,26.07.2016,
3616,226,30.06.2016,
3617,482,01.08.2016,
3618,738,10.08.2016,
3619,994,11.07.2016,
3620,1250,,
3621,1506,20.07.2016,
3622,1762,21.07.2016,
3623,2018,,
3624,226,28.07.2016,
3625,482,04.07.2016,
3626,738,06.07.2016,
3627,994,15.08.2016,
3628,1250,14.07.2016,
3629,1506,,
3630,1762,,
3631,2018,26.07.2016,
3632,227,28.07.2016,
3633,483,04.07.2016,
3634,739,06.07.2016,
3635,995,15.08.2016,
3636,1251,13.07.2016,
3637,1507,,
3638,1763,,
3639,2019,26.07.2016,
3640,227,30.06.2016,
3641,483,01.08.2016,
3642,739,10.08.2016,
3643,995,11.07.2016,
3644,1251,,
3645,1507,20.07.2016,
3646,1763,21.07.2016,
3647,2019,,
3648,228,30.06.2016,
3649,484,01.08.2016,
3650,740,10.08.2016,
3651,996,11.07.2016,
3652,1252,,
3653,1508,20.07.2016,
3654,1764,21.07.2016,
3655,2020,,
3656,228,28.07.2016,
3657,484,04.07.2016,
3658,740,06.07.2016,
3659,996,15.08.2016,
3660,1252,13.07.2016,
3661,1508,,
3662,1764,,
3663,2020,26.07.2016,
3664,229,28.07.2016,
3665,485,04.07.2016,
3666,741,06.07.2016,
3667,997,22.08.2016,
3668,1253,13.07.2016,
3669,1509,,
3670,1765,,
3671,2021,26.07.2016,
3672,229,30.06.2016,
3673,485,01.08.2016,
3674,741,10.08.2016,
3675,997,11.07.2016,
3676,1253,,
3677,1509,20.07.2016,
3678,1765,21.07.2016,
3679,2021,,
3680,230,28.07.2016,
3681,486,04.07.2016,
3682,742,06.07.2016,
3683,998,22.08.2016,
3684,1254,13.07.2016,
3685,1510,,
3686,1766,,
3687,2022,26.07.2016,
3688,230,30.06.2016,
3689,486,01.08.2016,
3690,742,10.08.2016,
3691,998,11.07.2016,
3692,1254,,
3693,1510,20.07.2016,
3694,1766,21.07.2016,
3695,2022,,
3696,231,30.06.2016,
3697,487,01.08.2016,
3698,743,10.08.2016,
3699,999,11.07.2016,
3700,1255,,
3701,1511,20.07.2016,
3702,1767,21.07.2016,
3703,2023,,
3704,231,27.07.2016,
3705,487,04.07.2016,
3706,743,06.07.2016,
3707,999,22.08.2016,
3708,1255,13.07.2016,
3709,1511,,
3710,1767,,
3711,2023,26.07.2016,
3712,232,30.06.2016,
3713,488,01.08.2016,
3714,744,10.08.2016,
3715,1000,11.07.2016,
3716,1256,,
3717,1512,20.07.2016,
3718,1768,21.07.2016,
3719,2024,,
3720,232,27.07.2016,
3721,488,04.07.2016,
3722,744,06.07.2016,
3723,1000,22.08.2016,
3724,1256,13.07.2016,
3725,1512,,
3726,1768,,
3727,2024,26.07.2016,
3728,233,27.07.2016,
3729,489,04.07.2016,
3730,745,06.07.2016,
3731,1001,22.08.2016,
3732,1257,13.07.2016,
3733,1513,,
3734,1769,,
3735,2025,26.07.2016,
3736,233,30.06.2016,
3737,489,01.08.2016,
3738,745,10.08.2016,
3739,1001,11.07.2016,
3740,1257,,
3741,1513,20.07.2016,
3742,1769,21.07.2016,
3743,2025,,
3744,234,27.07.2016,
3745,490,04.07.2016,
3746,746,06.07.2016,
3747,1002,22.08.2016,
3748,1258,13.07.2016,
3749,1514,,
3750,1770,,
3751,2026,26.07.2016,
3752,234,30.06.2016,
3753,490,01.08.2016,
3754,746,10.08.2016,
3755,1002,11.07.2016,
3756,1258,,
3757,1514,20.07.2016,
3758,1770,21.07.2016,
3759,2026,,
3760,235,30.06.2016,
3761,491,01.08.2016,
3762,747,10.08.2016,
3763,1003,11.07.2016,
3764,1259,,02.09.2016
3765,1515,20.07.2016,
3766,1771,21.07.2016,
3767,2027,,
3768,235,27.07.2016,
3769,491,04.07.2016,
3770,747,06.07.2016,
3771,1003,22.08.2016,
3772,1259,13.07.2016,
3773,1515,,
3774,1771,,
3775,2027,26.07.2016,
3776,236,27.07.2016,
3777,492,04.07.2016,
3778,748,06.07.2016,
3779,1004,22.08.2016,
3780,1260,13.07.2016,
3781,1516,,
3782,1772,,
3783,2028,26.07.2016,
3784,236,30.06.2016,
3785,492,01.08.2016,
3786,748,10.08.2016,
3787,1004,11.07.2016,
3788,1260,,
3789,1516,20.07.2016,
3790,1772,21.07.2016,
3791,2028,,
3792,237,30.06.2016,
3793,493,01.08.2016,
3794,749,10.08.2016,
3795,1005,11.07.2016,
3796,1261,,02.09.2016
3797,1517,20.07.2016,
3798,1773,21.07.2016,
3799,2029,,
3800,237,27.07.2016,
3801,493,04.07.2016,
3802,749,06.07.2016,
3803,1005,22.08.2016,
3804,1261,13.07.2016,
3805,1517,,
3806,1773,,
3807,2029,26.07.2016,
3808,238,30.06.2016,
3809,494,01.08.2016,
3810,750,10.08.2016,
3811,1006,11.07.2016,
3812,1262,,
3813,1518,20.07.2016,
3814,1774,21.07.2016,
3815,2030,,
3816,238,27.07.2016,
3817,494,04.07.2016,
3818,750,06.07.2016,
3819,1006,22.08.2016,
3820,1262,13.07.2016,
3821,1518,,
3822,1774,,
3823,2030,26.07.2016,
3824,239,27.07.2016,
3825,495,04.07.2016,
3826,751,06.07.2016,
3827,1007,,16.08.2016
3828,1263,13.07.2016,
3829,1519,,
3830,1775,,
3831,2031,26.07.2016,
3832,239,30.06.2016,
3833,495,01.08.2016,
3834,751,10.08.2016,
3835,1007,11.07.2016,
3836,1263,,24.08.2016
3837,1519,20.07.2016,
3838,1775,22.07.2016,
3839,2031,,
3840,240,30.06.2016,
3841,496,01.08.2016,
3842,752,10.08.2016,
3843,1008,11.07.2016,
3844,1264,,24.08.2016
3845,1520,19.07.2016,
3846,1776,22.07.2016,
3847,2032,,
3848,240,27.07.2016,
3849,496,04.07.2016,
3850,752,06.07.2016,
3851,1008,22.08.2016,
3852,1264,13.07.2016,
3853,1520,,
3854,1776,,
3855,2032,26.07.2016,
3856,241,28.07.2016,
3857,497,04.07.2016,
3858,753,06.07.2016,
3859,1009,22.08.2016,
3860,1265,13.07.2016,
3861,1521,,
3862,1777,,
3863,2033,26.07.2016,
3864,241,30.06.2016,
3865,497,01.08.2016,
3866,753,10.08.2016,
3867,1009,11.07.2016,
3868,1265,,
3869,1521,20.07.2016,
3870,1777,21.07.2016,
3871,2033,,
3872,242,28.07.2016,
3873,498,04.07.2016,
3874,754,06.07.2016,
3875,1010,22.08.2016,
3876,1266,13.07.2016,
3877,1522,,
3878,1778,,
3879,2034,26.07.2016,
3880,242,30.06.2016,
3881,498,01.08.2016,
3882,754,10.08.2016,
3883,1010,11.07.2016,
3884,1266,,
3885,1522,20.07.2016,
3886,1778,21.07.2016,
3887,2034,,
3888,243,30.06.2016,
3889,499,01.08.2016,
3890,755,10.08.2016,
3891,1011,11.07.2016,
3892,1267,,
3893,1523,19.07.2016,
3894,1779,21.07.2016,
3895,2035,,
3896,243,28.07.2016,
3897,499,04.07.2016,
3898,755,06.07.2016,
3899,1011,22.08.2016,
3900,1267,14.07.2016,
3901,1523,,
3902,1779,,
3903,2035,26.07.2016,
3904,244,27.07.2016,
3905,500,04.07.2016,
3906,756,06.07.2016,
3907,1012,22.08.2016,
3908,1268,14.07.2016,
3909,1524,,
3910,1780,,
3911,2036,26.07.2016,
3912,244,30.06.2016,
3913,500,01.08.2016,
3914,756,10.08.2016,
3915,1012,11.07.2016,
3916,1268,,
3917,1524,19.07.2016,
3918,1780,21.07.2016,
3919,2036,,
3920,245,30.06.2016,
3921,501,01.08.2016,
3922,757,10.08.2016,
3923,1013,11.07.2016,
3924,1269,,
3925,1525,19.07.2016,
3926,1781,21.07.2016,
3927,2037,,
3928,245,27.07.2016,
3929,501,04.07.2016,
3930,757,06.07.2016,
3931,1013,22.08.2016,
3932,1269,14.07.2016,
3933,1525,,
3934,1781,,
3935,2037,26.07.2016,
3936,246,30.06.2016,
3937,502,01.08.2016,
3938,758,10.08.2016,
3939,1014,11.07.2016,
3940,1270,,02.09.2016
3941,1526,19.07.2016,
3942,1782,21.07.2016,
3943,2038,,
3944,246,28.07.2016,
3945,502,04.07.2016,
3946,758,06.07.2016,
3947,1014,22.08.2016,
3948,1270,14.07.2016,
3949,1526,,
3950,1782,,
3951,2038,26.07.2016,
3952,247,28.07.2016,
3953,503,04.07.2016,
3954,759,06.07.2016,
3955,1015,15.08.2016,
3956,1271,14.07.2016,
3957,1527,,
3958,1783,,
3959,2039,26.07.2016,
3960,247,30.06.2016,
3961,503,01.08.2016,
3962,759,10.08.2016,
3963,1015,11.07.2016,
3964,1271,,
3965,1527,19.07.2016,
3966,1783,21.07.2016,
3967,2039,,
3968,248,28.07.2016,
3969,504,04.07.2016,
3970,760,06.07.2016,
3971,1016,22.08.2016,
3972,1272,14.07.2016,
3973,1528,,
3974,1784,,
3975,2040,26.07.2016,
3976,248,30.06.2016,
3977,504,01.08.2016,
3978,760,10.08.2016,
3979,1016,11.07.2016,
3980,1272,,
3981,1528,19.07.2016,
3982,1784,21.07.2016,
3983,2040,,
3984,249,30.06.2016,
3985,505,01.08.2016,
3986,761,10.08.2016,
3987,1017,11.07.2016,
3988,1273,,
3989,1529,19.07.2016,
3990,1785,21.07.2016,
3991,2041,,
3992,249,28.07.2016,
3993,505,04.07.2016,
3994,761,06.07.2016,
3995,1017,22.08.2016,
3996,1273,14.07.2016,
3997,1529,,
3998,1785,,
3999,2041,26.07.2016,
4000,250,30.06.2016,
4001,506,01.08.2016,
4002,762,10.08.2016,
4003,1018,11.07.2016,
4004,1274,,
4005,1530,19.07.2016,
4006,1786,21.07.2016,
4007,2042,,
4008,250,28.07.2016,
4009,506,04.07.2016,
4010,762,06.07.2016,
4011,1018,22.08.2016,
4012,1274,14.07.2016,
4013,1530,,
4014,1786,,
4015,2042,26.07.2016,
4016,251,28.07.2016,
4017,507,04.07.2016,
4018,763,06.07.2016,
4019,1019,22.08.2016,
4020,1275,14.07.2016,
4021,1531,,
4022,1787,,
4023,2043,26.07.2016,
4024,251,30.06.2016,
4025,507,01.08.2016,
4026,763,10.08.2016,
4027,1019,11.07.2016,
4028,1275,,
4029,1531,19.07.2016,
4030,1787,21.07.2016,
4031,2043,,
4032,252,30.06.2016,
4033,508,01.08.2016,
4034,764,10.08.2016,
4035,1020,11.07.2016,
4036,1276,,
4037,1532,,
4038,1788,21.07.2016,
4039,2044,,
4040,252,28.07.2016,
4041,508,04.07.2016,
4042,764,06.07.2016,
4043,1020,22.08.2016,
4044,1276,14.07.2016,
4045,1532,,
4046,1788,,
4047,2044,26.07.2016,
4048,253,28.07.2016,
4049,509,04.07.2016,
4050,765,06.07.2016,
4051,1021,22.08.2016,
4052,1277,14.07.2016,
4053,1533,,
4054,1789,,
4055,2045,26.07.2016,
4056,253,30.06.2016,
4057,509,01.08.2016,
4058,765,10.08.2016,
4059,1021,11.07.2016,
4060,1277,,
4061,1533,19.07.2016,
4062,1789,21.07.2016,
4063,2045,,
4064,254,28.07.2016,
4065,510,04.07.2016,
4066,766,06.07.2016,
4067,1022,22.08.2016,
4068,1278,14.07.2016,
4069,1534,,
4070,1790,,
4071,2046,26.07.2016,
4072,254,30.06.2016,
4073,510,01.08.2016,
4074,766,10.08.2016,
4075,1022,11.07.2016,
4076,1278,,
4077,1534,19.07.2016,
4078,1790,21.07.2016,
4079,2046,,
4080,255,30.06.2016,
4081,511,01.08.2016,
4082,767,10.08.2016,
4083,1023,11.07.2016,
4084,1279,,
4085,1535,19.07.2016,
4086,1791,21.07.2016,
4087,2047,,
4088,255,28.07.2016,
4089,511,04.07.2016,
4090,767,06.07.2016,
4091,1023,22.08.2016,
4092,1279,14.07.2016,
4093,1535,,
4094,1791,,
4095,2047,,
